Date,Open,High,Low,Close,Volume
2012.3.12,"30,000","30,050","29,400","29,600","2,568,440"
2012.3.13,"29,750","29,900","29,200","29,300","5,055,287"
2012.3.14,"29,900","30,200","29,600","29,600","4,906,654"
2012.3.15,"29,500","29,600","28,950","29,250","4,849,707"
2012.3.16,"29,350","29,450","28,750","28,800","3,696,225"
2012.3.19,"28,700","29,300","28,700","29,300","4,885,898"
2012.3.20,"29,350","29,600","29,050","29,150","3,873,987"
2012.3.21,"28,950","29,300","28,850","28,900","2,626,551"
2012.3.22,"29,050","29,600","29,050","29,350","4,117,144"
2012.3.23,"29,100","30,250","29,050","30,150","6,294,185"
2012.3.26,"30,250","30,650","30,050","30,300","6,658,186"
2012.3.27,"30,450","30,700","30,050","30,450","5,718,097"
2012.3.28,"30,200","30,950","30,150","30,550","4,918,214"
2012.3.29,"30,350","30,900","30,350","30,500","5,114,998"
2012.3.30,"30,400","30,450","29,100","29,250","9,809,386"
2012.4.2,"29,150","29,550","29,100","29,350","4,727,837"
2012.4.3,"29,550","30,400","29,350","30,300","6,693,182"
2012.4.4,"30,250","30,350","29,350","29,400","4,413,819"
2012.4.5,"28,750","30,050","28,300","29,850","8,899,496"
2012.4.6,"29,700","29,900","29,250","29,250","3,184,217"
2012.4.9,"28,800","29,350","27,900","28,050","5,568,643"
2012.4.10,"28,050","28,350","27,350","27,750","5,098,219"
2012.4.12,"27,800","27,850","26,850","27,200","5,583,246"
2012.4.13,"27,750","29,050","27,650","29,000","6,983,362"
2012.4.16,"28,700","29,450","28,550","29,250","4,160,701"
2012.4.17,"29,200","29,250","28,250","28,300","4,670,489"
2012.4.18,"28,850","28,950","28,050","28,050","5,482,631"
2012.4.19,"27,900","29,000","27,500","28,800","6,179,883"
2012.4.20,"28,200","28,350","27,600","27,650","5,649,678"
2012.4.23,"27,650","28,450","27,600","27,800","4,549,672"
2012.4.24,"27,500","27,850","27,050","27,250","4,750,282"
2012.4.25,"27,600","27,700","27,000","27,050","4,836,561"
2012.4.26,"27,500","27,700","27,000","27,200","4,858,423"
2012.4.27,"27,400","28,250","27,350","28,050","4,531,018"
2012.4.30,"28,050","28,450","27,800","28,050","3,759,698"
2012.5.2,"28,300","28,350","27,100","27,350","7,203,804"
2012.5.3,"27,300","27,850","27,150","27,250","4,021,667"
2012.5.4,"27,050","28,900","26,800","28,150","10,901,418"
2012.5.7,"27,750","27,950","27,150","27,250","5,466,152"
2012.5.8,"27,450","27,500","26,500","26,650","6,327,999"
2012.5.9,"26,450","26,850","26,050","26,200","6,859,416"
